episode,reward,eval_mean,eval_std,loss
485,-3.775712500000005,nan,nan,
260,-4.515362500000003,nan,nan,
486,-4.058512499999999,nan,nan,
487,-2.3387499999999983,nan,nan,
488,-3.8012999999999946,nan,nan,
261,-3.108049999999997,nan,nan,
489,-2.6653624999999956,nan,nan,
490,-3.5437,nan,nan,
262,-4.895737499999999,nan,nan,
491,-3.810512500000002,nan,nan,
492,-2.7623624999999965,nan,nan,
493,-3.1738124999999946,nan,nan,
263,-4.458349999999992,nan,nan,
494,-4.36945,nan,nan,
495,-4.203200000000002,nan,nan,
496,-2.8152374999999976,nan,nan,
264,-3.9475749999999934,nan,nan,
497,-4.253862500000001,nan,nan,
498,-3.177587500000001,nan,nan,
265,-4.724650000000003,nan,nan,
499,-3.9362999999999997,nan,nan,
500,-4.000812499999997,-2.3046675,0.7111613619900223,
266,-4.116512499999993,nan,nan,
501,-3.91855,nan,nan,
502,-2.627087499999995,nan,nan,
503,-3.9388874999999968,nan,nan,
267,-2.9783875000000006,nan,nan,
504,-4.169137500000001,nan,nan,
505,-3.351662500000001,nan,nan,
506,-3.9773250000000004,nan,nan,
268,-3.8781499999999927,nan,nan,
507,-3.8629499999999983,nan,nan,
508,-3.878099999999994,nan,nan,
269,-6.401675,nan,nan,
509,-2.9774875,nan,nan,
510,-4.879575000000002,nan,nan,
511,-2.790025000000001,nan,nan,
270,-6.656250000000003,nan,nan,
512,-2.999625000000003,nan,nan,
513,-4.50625,nan,nan,
271,-5.904162499999996,nan,nan,
514,-2.3780374999999943,nan,nan,
515,-3.003437500000006,nan,nan,
516,-2.617587499999999,nan,nan,
272,-4.577025,nan,nan,
517,-3.1384125000000043,nan,nan,
518,-3.9681875000000058,nan,nan,
519,-3.8708125,nan,nan,
273,-5.5787875,nan,nan,
520,-3.0821374999999978,nan,nan,
521,-3.306749999999996,nan,nan,
274,-3.6196624999999947,nan,nan,
522,-2.836087499999998,nan,nan,
275,-2.8883374999999942,nan,nan,
523,-3.352337500000001,nan,nan,
276,-2.0487875000000018,nan,nan,
524,-4.1247374999999975,nan,nan,
277,-3.552049999999999,nan,nan,
525,-3.8273500000000045,nan,nan,
278,-3.566625000000002,nan,nan,
526,-4.127999999999992,nan,nan,
279,-4.163662499999998,nan,nan,
527,-4.4202624999999935,nan,nan,
280,-5.145537500000002,nan,nan,
528,-3.9994124999999987,nan,nan,
281,-3.5704250000000024,nan,nan,
529,-5.8700625,nan,nan,
282,-4.4767875,nan,nan,
530,-4.818537499999997,nan,nan,
283,-3.907700000000006,nan,nan,
531,-4.366125,nan,nan,
284,-4.090712500000002,nan,nan,
532,-3.509374999999992,nan,nan,
285,-3.0233375000000025,nan,nan,
533,-3.9867125000000003,nan,nan,
286,-3.7400499999999965,nan,nan,
534,-2.3011375000000003,nan,nan,
287,-5.154374999999998,nan,nan,
535,-2.8793875000000013,nan,nan,
288,-4.4740624999999925,nan,nan,
536,-4.608187500000003,nan,nan,
289,-1.5071250000000014,nan,nan,
537,-5.406362499999997,nan,nan,
290,-4.346325000000003,nan,nan,
538,-4.4466874999999995,nan,nan,
291,-4.973337499999999,nan,nan,
539,-4.348125,nan,nan,
292,-5.052562499999997,nan,nan,
540,-2.4799249999999984,nan,nan,
293,-2.9584625,nan,nan,
541,-3.3202124999999976,nan,nan,
294,-2.8750624999999976,nan,nan,
542,-3.855324999999998,nan,nan,
295,-4.834587499999992,nan,nan,
543,-3.3048875000000004,nan,nan,
296,-5.980737500000003,nan,nan,
544,-1.244474999999999,nan,nan,
297,-5.157275000000001,nan,nan,
545,-2.0349249999999985,nan,nan,
298,-3.1298124999999932,nan,nan,
546,-3.0048125000000026,nan,nan,
299,-2.728662499999997,nan,nan,
547,-2.421312500000001,nan,nan,
300,-5.012725000000004,-2.7092925000000037,0.4168604489664378,
548,-4.427662499999995,nan,nan,
301,-2.993849999999997,nan,nan,
549,-3.4533375000000044,nan,nan,
302,-1.5943000000000014,nan,nan,
550,-3.260349999999995,nan,nan,
303,-5.2654749999999995,nan,nan,
551,-3.837225000000007,nan,nan,
304,-3.938887500000005,nan,nan,
552,-2.6431499999999977,nan,nan,
305,-5.218325000000002,nan,nan,
553,-3.9215249999999973,nan,nan,
306,-4.972112499999998,nan,nan,
554,-3.327562499999998,nan,nan,
307,-3.3920249999999914,nan,nan,
555,-3.766874999999993,nan,nan,
308,-3.703487499999999,nan,nan,
556,-3.665024999999993,nan,nan,
309,-4.789499999999995,nan,nan,
557,-4.3245125,nan,nan,
310,-2.6273624999999936,nan,nan,
558,-3.509012499999993,nan,nan,
311,-4.0489875,nan,nan,
559,-3.7920500000000033,nan,nan,
312,-3.1429249999999955,nan,nan,
560,-3.968474999999997,nan,nan,
313,-2.365975000000004,nan,nan,
561,-3.8242625000000023,nan,nan,
314,-4.06705,nan,nan,
562,-4.832725000000004,nan,nan,
315,-5.417949999999997,nan,nan,
563,-3.2940624999999994,nan,nan,
316,-2.211674999999996,nan,nan,
564,-4.876700000000002,nan,nan,
317,-3.3872125000000017,nan,nan,
565,-4.874462500000008,nan,nan,
318,-4.172775000000003,nan,nan,
566,-4.917862499999995,nan,nan,
319,-3.866149999999993,nan,nan,
567,-2.6864124999999994,nan,nan,
320,-3.5961875,nan,nan,
568,-4.633462500000003,nan,nan,
321,-10.990612500000003,nan,nan,
569,-3.5878874999999995,nan,nan,
322,-3.885912500000002,nan,nan,
570,-4.266174999999998,nan,nan,
323,-2.9725875000000013,nan,nan,
571,-4.819737500000002,nan,nan,
324,-4.144062499999997,nan,nan,
